business_name,business_id,snapshot_at,creative_id,name,format,age_days,spend,purchases,purchase_value,impressions,link_clicks,roas,cpa,ctr,bench_roas,bench_cpa,bench_reliability,fatigue_status,frequency,economics_status,target_roas,breakeven_roas,deploy_compat,truth_state,operator_disposition,v1_primary_action,v1_lifecycle_state,v1_legacy_action,v1_confidence,v1_score
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_1d99qi7,aura,image,30,1531.33,16,3177.33,54333,1727,2.07,95.71,3.18,,,,none,,guarded,2.2,1.71,limited,live_confident,protected_watchlist,hold_no_touch,stable_winner,watch,0.66,86
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_1ikfu77,protection,image,30,1361.73,9,2284.42,48072,1557,1.68,151.3,3.24,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.66,64
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_ylpchy,aphrodite,image,30,1193.43,10,1948.19,39886,1182,1.63,119.34,2.96,,,,watch,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.66,55
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_14uk7cw,fatal,image,30,944.37,7,1576.81,32499,1023,1.67,134.91,3.15,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.66,64
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_hltcj,depth,image,30,587.18,2,369,17555,580,0.63,293.59,3.3,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.54,59
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_uf55lo,AllRings,video,30,564,4,671.25,31142,1292,1.19,141,4.15,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.66,70
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_7det4q,biterevise,image,30,525.23,8,2108.2,16791,485,4.01,65.65,2.89,,,,watch,,eligible,2.2,1.71,limited,live_confident,protected_watchlist,hold_no_touch,stable_winner,watch,0.66,86
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_zgt8em,restraintrevise,image,30,467.34,6,1935.23,14696,492,4.14,77.89,3.35,,,,watch,,eligible,2.2,1.71,limited,live_confident,protected_watchlist,hold_no_touch,stable_winner,watch,0.66,86
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_1ckebyd,EMB - AllRings,video,30,459.83,3,513.71,32578,872,1.12,153.28,2.68,,,,watch,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.66,50
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_8a8qqj,ancientegypt,image,30,377.85,2,240,11524,235,0.64,188.93,2.04,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.54,67
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_1w229oq,begintodeath,image,30,347.9,2,785,11115,336,2.26,173.95,3.02,,,,none,,guarded,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.54,79
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_5r9ggv,angelNdevill,image,30,341.02,2,374,9410,248,1.1,170.51,2.64,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.54,67
